"title","year","rating","votes","runtime","genre"
"Rush Hour 2",2001,6.5,125336,90,"Action"
"Spy Game",2001,7,100852,126,"Action"
"Adaptation.",2002,7.8,117234,114,"Comedy"
"Ice Age",2002,7.6,232009,81,"Animation"
"About a Boy",2002,7.1,118731,101,"Comedy"
"Once Upon a Time in Mexico",2003,6.4,106116,102,"Action"
"Hulk",2003,5.7,162740,138,"Action"
"Daredevil",2003,5.4,133471,103,"Action"
"Meet the Fockers",2004,6.3,167275,115,"Comedy"
"X-Men 2",2003,7.5,283394,133,"Action"
"The Transporter",2002,6.8,179541,92,"Action"
"Austin Powers in Goldmember",2002,6.2,132448,94,"Action"
"Harry Potter and the Chamber of Secrets",2002,7.3,284412,161,"Adventure"
"xXx",2002,5.8,116673,124,"Action"
"The Chronicles of Riddick",2004,6.7,149184,119,"Action"
"Shrek 2",2004,7.3,226472,93,"Animation"
"Chicago",2002,7.2,138736,113,"Comedy"
"Old School",2003,7.2,158258,91,"Comedy"
"Harry Potter and the Prisoner of Azkaban",2004,7.8,279347,142,"Adventure"
"Anger Management",2003,6.2,141065,106,"Comedy"
"Shark Tale",2004,6,102558,90,"Animation"
"Master and Commander: The Far Side of the World",2003,7.4,140120,138,"Action"
"The League of Extraordinary Gentlemen",2003,5.8,108276,110,"Action"
"Love Actually",2003,7.7,244505,135,"Comedy"
"Bruce Almighty",2003,6.7,217140,101,"Comedy"
"Spider-Man 2",2004,7.4,275224,127,"Action"
"Cars",2006,7.3,168841,117,"Animation"
"The Italian Job",2003,7,224597,111,"Action"
"Mission: Impossible III",2006,6.8,184806,126,"Action"
"Resident Evil: Apocalypse",2004,6.1,122823,94,"Action"
"Big Fish",2003,8,295867,125,"Adventure"
"The Day After Tomorrow",2004,6.4,245978,124,"Action"
"Elf",2003,6.9,109149,97,"Comedy"
"Kingdom of Heaven",2005,7.2,164908,144,"Action"
"Underworld",2003,7,163653,121,"Action"
"2 Fast 2 Furious",2003,5.6,124488,107,"Action"
"The Last Samurai",2003,7.7,241419,154,"Action"
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8.1,571506,143,"Action"
"Coraline",2009,7.7,110199,100,"Animation"
"Man on Fire",2004,7.8,205437,146,"Action"
"American Wedding",2003,6.2,128245,96,"Comedy"
"Harry Potter and the Goblet of Fire",2005,7.6,284052,157,"Adventure"
"School of Rock",2003,7.1,155951,108,"Comedy"
"Troy",2004,7.2,274525,163,"Adventure"
"Garden State",2004,7.7,164838,102,"Comedy"
"Starsky & Hutch",2004,6.1,101718,101,"Comedy"
"Live Free or Die Hard",2007,7.3,278271,128,"Action"
"Lemony Snicket's A Series of Unfortunate Events",2004,6.8,124794,108,"Adventure"
"50 First Dates",2004,6.8,202178,99,"Comedy"
"Alexander",2004,5.5,114519,175,"Action"
"Howl's Moving Castle",2004,8.2,136153,119,"Animation"
"Superman Returns",2006,6.2,205733,154,"Action"
"King Arthur",2004,6.3,107097,126,"Action"
"Madagascar",2005,6.9,182984,86,"Animation"
"Mr. & Mrs. Smith",2005,6.4,236374,120,"Action"
"Anchorman: The Legend of Ron Burgundy",2004,7.3,195798,94,"Comedy"
"King Kong",2005,7.3,253640,187,"Action"
"Inglourious Basterds",2009,8.3,556360,153,"Adventure"
"The Terminal",2004,7.3,219436,128,"Comedy"
"The Life Aquatic with Steve Zissou",2004,7.3,102399,119,"Adventure"
"Dawn of the Dead",2004,7.4,153839,101,"Action"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,216450,143,"Adventure"
"Dodgeball: A True Underdog Story",2004,6.7,136735,92,"Comedy"
"Shaun of the Dead",2004,8,299764,99,"Comedy"
"Harold & Kumar Go to White Castle",2004,7.2,128515,88,"Adventure"
"Charlie and the Chocolate Factory",2005,6.8,231856,115,"Adventure"
"Indiana Jones and the Kingdom of the Crystal Skull",2008,6.3,254789,122,"Action"
"National Treasure",2004,6.9,199418,131,"Action"
"AVP: Alien vs. Predator",2004,5.5,111584,101,"Action"
"Iron Man",2008,7.9,467927,126,"Action"
"The Bourne Supremacy",2004,7.8,251871,108,"Action"
"Team America: World Police",2004,7.2,110704,98,"Animation"
"Batman Begins",2005,8.3,657342,140,"Action"
"Kiss Kiss Bang Bang",2005,7.7,142953,103,"Action"
"Harry Potter and the Order of the Phoenix",2007,7.4,261515,138,"Adventure"
"Napoleon Dynamite",2004,6.9,130519,82,"Comedy"
"Sideways",2004,7.6,125477,126,"Comedy"
"X-Men: The Last Stand",2006,6.8,265008,104,"Action"
"Mean Girls",2004,6.9,166803,97,"Comedy"
"Kill Bill: Vol. 2",2004,8,384686,137,"Action"
"Serenity",2005,8,196675,119,"Action"
"Casino Royale",2006,8,342173,144,"Action"
"3:10 to Yuma",2007,7.8,191108,122,"Adventure"
"Ratatouille",2007,8,339920,111,"Animation"
"Pirates of the Caribbean: Dead Man's Chest",2006,7.3,381723,151,"Action"
"The Golden Compass",2007,6.1,122839,113,"Adventure"
"Hitch",2005,6.7,192054,118,"Comedy"
"Click",2006,6.5,182883,107,"Comedy"
"Wedding Crashers",2005,7,222310,119,"Comedy"
"Bolt",2008,7,108261,96,"Animation"
"Tangled",2010,7.9,175102,100,"Animation"
"The Island",2005,6.9,217914,136,"Action"
"John Carter",2012,6.6,165198,132,"Action"
"Underworld: Evolution",2006,6.7,122183,106,"Action"
"The 40-Year-Old Virgin",2005,7.2,233921,116,"Comedy"
"War of the Worlds",2005,6.5,253227,116,"Adventure"
"Flightplan",2005,6.2,102678,98,"Action"
"Watchmen",2009,7.6,300569,162,"Action"
"Cowboys & Aliens",2011,6.1,136790,119,"Action"
"Hellboy II: The Golden Army",2008,7.1,169087,120,"Action"
"Shrek the Third",2007,6,154120,93,"Animation"
"Spider-Man 3",2007,6.3,262797,139,"Action"
"300",2006,7.8,463799,117,"Action"
"Snakes on a Plane",2006,5.7,102897,105,"Action"
"Harry Potter and the Half-Blood Prince",2009,7.4,230099,153,"Adventure"
"Stranger Than Fiction",2006,7.7,158488,113,"Comedy"
"Get Smart",2008,6.6,139230,110,"Action"
"Hot Fuzz",2007,7.9,264052,121,"Action"
"Thank You for Smoking",2005,7.7,166818,92,"Comedy"
"The A-Team",2010,6.8,167381,117,"Action"
"Role Models",2008,6.9,162734,99,"Comedy"
"Resident Evil: Extinction",2007,6.3,121351,94,"Action"
"Real Steel",2011,7.1,193734,127,"Action"
"V for Vendetta",2005,8.2,557149,132,"Action"
"The Descent",2005,7.3,118003,99,"Adventure"
"Toy Story 3",2010,8.5,354090,103,"Animation"
"Ice Age: The Meltdown",2006,6.9,131093,91,"Animation"
"Terminator Salvation",2009,6.7,219583,115,"Action"
"The Bourne Ultimatum",2007,8.1,349169,115,"Action"
"Kung Fu Panda",2008,7.6,209068,90,"Animation"
"Beowulf",2007,6.3,122239,115,"Animation"
"Vantage Point",2008,6.6,110927,90,"Action"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,7.3,242870,84,"Comedy"
"Scott Pilgrim vs. the World",2010,7.5,200557,112,"Action"
"Knowing",2009,6.2,152925,121,"Action"
"Hancock",2008,6.5,231529,92,"Action"
"Little Miss Sunshine",2006,7.9,278063,101,"Adventure"
"Pirates of the Caribbean: At World's End",2007,7.1,343573,169,"Action"
"Blood Diamond",2006,8,290678,143,"Adventure"
"Death Race",2008,6.4,132344,105,"Action"
"Deja Vu",2006,7,189848,126,"Action"
"Life of Pi",2012,8.1,297300,127,"Adventure"
"The Holiday",2006,6.9,137228,138,"Comedy"
"Captain America: The First Avenger",2011,6.8,277792,124,"Action"
"The Devil Wears Prada",2006,6.8,201103,109,"Comedy"
"X-Men Origins: Wolverine",2009,6.8,227155,107,"Action"
"Enchanted",2007,7.2,110303,107,"Comedy"
"Grindhouse",2007,7.7,130413,191,"Action"
"Rambo",2008,7.1,146551,92,"Action"
"The Simpsons Movie",2007,7.4,205074,87,"Animation"
"The Fast and the Furious: Tokyo Drift",2006,5.9,113877,104,"Action"
"National Treasure: Book of Secrets",2007,6.5,145649,124,"Action"
"Shoot 'Em Up",2007,6.8,114583,86,"Action"
"Juno",2007,7.6,323349,96,"Comedy"
"The Dark Knight",2008,9,1151458,152,"Action"
"Apocalypto",2006,7.8,193520,139,"Action"
"Prince of Persia: The Sands of Time",2010,6.6,167050,116,"Action"
"Smokin' Aces",2006,6.7,106009,108,"Action"
"Unstoppable",2010,6.8,113239,98,"Action"
"Night at the Museum",2006,6.3,160881,108,"Action"
"Crank",2006,7,154657,88,"Action"
"Fantastic 4: Rise of the Silver Surfer",2007,5.6,161485,92,"Action"
"Stardust",2007,7.8,173241,127,"Adventure"
"Jumper",2008,6,188779,88,"Action"
"Wanted",2008,6.7,237319,110,"Action"
"The Chronicles of Narnia: Prince Caspian",2008,6.6,110046,150,"Action"
"Avatar",2009,8,657389,162,"Action"
"Love & Other Drugs",2010,6.6,104048,112,"Comedy"
"Into the Wild",2007,8.2,290910,148,"Adventure"
"Body of Lies",2008,7.1,137524,128,"Action"
"Man of Steel",2013,7.4,359556,143,"Action"
"In Bruges",2008,8,242386,107,"Comedy"
"Jack Reacher",2012,7,152015,130,"Action"
"Mamma Mia!",2008,6.4,105742,108,"Comedy"
"Star Trek",2009,8.1,401643,127,"Action"
"Forgetting Sarah Marshall",2008,7.3,175577,111,"Comedy"
